delta,root
1e-10,1.1624063469166304
1.2589254117941662e-10,1.1624063469166304
1.584893192461111e-10,1.1624063469166304
1.9952623149688828e-10,1.1624063469166304
2.511886431509582e-10,1.1624063469166304
3.1622776601683795e-10,1.1624063469166304
3.9810717055349694e-10,1.1624063469166304
5.011872336272714e-10,1.1624063469166304
6.309573444801942e-10,1.1624063469166304
7.943282347242822e-10,1.1624063469166304
1e-09,1.1624063469166304
1.2589254117941663e-09,1.1624063469166304
1.584893192461111e-09,1.1624063469166304
1.9952623149688828e-09,1.1624063469166304
2.511886431509582e-09,1.1624063469166304
3.1622776601683795e-09,1.1624063469166304
3.981071705534969e-09,1.1624063469166304
5.011872336272715e-09,1.1624063469166304
6.309573444801943e-09,1.1624063469166304
7.943282347242822e-09,1.1624063469166304
1e-08,1.1624063469166304
1.2589254117941661e-08,1.1624063469166304
1.5848931924611143e-08,1.1624063469166304
1.9952623149688786e-08,1.1624063469170527
2.511886431509582e-08,1.1624063469170527
3.162277660168379e-08,1.1624063469170527
3.981071705534969e-08,1.1624063469170527
5.011872336272725e-08,1.1624063469170527
6.30957344480193e-08,1.1624063469170527
7.943282347242822e-08,1.1624063469170527
1e-07,1.1624063469170527
1.2589254117941662e-07,1.1624063469170527
1.584893192461114e-07,1.1624063469170527
1.9952623149688787e-07,1.1624063469170527
2.5118864315095823e-07,1.1624063469170527
3.162277660168379e-07,1.1624063469170527
3.981071705534969e-07,1.1624063469170527
5.011872336272725e-07,1.1624063469170527
6.30957344480193e-07,1.1624063469170527
7.943282347242822e-07,1.1624063469170527
1e-06,1.1624063469170527
1.2589254117941661e-06,1.1624063469170527
1.584893192461114e-06,1.1624063469170527
1.9952623149688787e-06,1.1624063469170527
2.5118864315095823e-06,1.1624063469170527
3.162277660168379e-06,1.1624063469170527
3.981071705534969e-06,1.1624063469170527
5.011872336272725e-06,1.1624063469170527
6.30957344480193e-06,1.1624063469170527
7.943282347242822e-06,1.1624063469170527
1e-05,1.1624063469170527
1.2589254117941661e-05,1.1624063639763085
1.584893192461114e-05,1.1624063639763085
1.9952623149688786e-05,1.1624063639763085
2.5118864315095822e-05,1.1624063639763085
3.1622776601683795e-05,1.1624063639763085
3.9810717055349695e-05,1.1624063639763085
5.011872336272725e-05,1.1624063639763085
6.309573444801929e-05,1.1624063639763085
7.943282347242822e-05,1.1624063639763085
0.0001,1.1624063639763085
0.00012589254117941674,1.1624063639763085
0.00015848931924611142,1.1624063639763085
0.00019952623149688788,1.1624063639763085
0.00025118864315095795,1.1624063639763085
0.00031622776601683794,1.1624063639763085
0.00039810717055349735,1.1624063639763085
0.0005011872336272725,1.1624063639763085
0.000630957344480193,1.1624063639763085
0.0007943282347242813,1.1624185768184923
0.001,1.1624185768184923
0.0012589254117941675,1.1624185768184923
0.001584893192461114,1.1624185768184923
0.001995262314968879,1.1624185768184923
0.0025118864315095794,1.1624185768184923
0.0031622776601683794,1.1624185768184923
0.003981071705534973,1.1624185768184923
0.005011872336272725,1.1624185768184923
0.00630957344480193,1.1624185768184923
0.007943282347242814,1.1624185768184923
0.01,1.1630958591663703
0.012589254117941675,1.1630958591663703
0.015848931924611134,1.1630958591663703
0.0199526231496888,1.1630958591663703
0.025118864315095794,1.1630958591663703
0.03162277660168379,1.1712173713439304
0.039810717055349734,1.1712173713439304
0.05011872336272722,1.1712173713439304
0.06309573444801933,1.1712173713439304
0.07943282347242814,1.2825474280257025
0.1,1.6
0.12589254117941673,1.6
