delta,rx,ry
1e-10,3.158629422623099,9.944680960786368
1.2589254117941662e-10,3.158629422623099,9.944680960786368
1.584893192461111e-10,3.158629422623099,9.944680960786368
1.9952623149688828e-10,3.158629422623099,9.944680960786368
2.511886431509582e-10,3.158629422623099,9.944680960786368
3.1622776601683795e-10,3.158629422623099,9.944680960786368
3.9810717055349694e-10,3.158629422623099,9.944680960786368
5.011872336272714e-10,3.158629422623099,9.944680960786368
6.309573444801942e-10,3.158629422623099,9.944680960786368
7.943282347242822e-10,3.158629422623099,9.944680960786368
1e-09,3.158629422623099,9.944680960786368
1.2589254117941663e-09,3.158629422623099,9.944680960786368
1.584893192461111e-09,3.158629422623099,9.944680960786368
1.9952623149688828e-09,3.158629422623099,9.944680960786368
2.511886431509582e-09,3.158629422623099,9.944680960786368
3.1622776601683795e-09,3.158629422623099,9.944680960786368
3.981071705534969e-09,3.158629422623099,9.944680960786368
5.011872336272715e-09,3.158629422623099,9.944680960786368
6.309573444801943e-09,3.158629422623099,9.944680960786368
7.943282347242822e-09,3.158629422623099,9.944680960786368
1e-08,3.158629422623099,9.944680960786368
1.2589254117941661e-08,3.158629422623099,9.944680960786368
1.5848931924611143e-08,3.158629422623099,9.944680960786368
1.9952623149688786e-08,3.158629422623099,9.944680960786368
2.511886431509582e-08,3.158629422623099,9.944680960786368
3.162277660168379e-08,3.158629422623099,9.944680960786368
3.981071705534969e-08,3.158629422623099,9.944680960786368
5.011872336272725e-08,3.158629422623099,9.944680960786368
6.30957344480193e-08,3.158629422623099,9.944680960786368
7.943282347242822e-08,3.158629422623099,9.944680960786368
1e-07,3.158629422623099,9.944680960786368
1.2589254117941662e-07,3.158629422623099,9.944680960786368
1.584893192461114e-07,3.158629422623099,9.944680960786368
1.9952623149688787e-07,3.158629422623099,9.944680960786368
2.5118864315095823e-07,3.158629422623099,9.944680960786368
3.162277660168379e-07,3.158629422623099,9.944680960786368
3.981071705534969e-07,3.158629422623099,9.944680960786368
5.011872336272725e-07,3.158629422623099,9.944680960786368
6.30957344480193e-07,3.158629422623099,9.944680960786368
7.943282347242822e-07,3.158629422623099,9.944680960786368
1e-06,3.158629422623099,9.944680960786368
1.2589254117941661e-06,3.158629422623099,9.944680960786368
1.584893192461114e-06,3.158629422623099,9.944680960786368
1.9952623149688787e-06,3.158629422623099,9.944680960786368
2.5118864315095823e-06,3.158629422623099,9.944680960786368
3.162277660168379e-06,3.158629422623099,9.944680960786368
3.981071705534969e-06,3.158629422623099,9.944680960786368
5.011872336272725e-06,3.158629422623099,9.944680960786368
6.30957344480193e-06,3.158629422623099,9.944680960786368
7.943282347242822e-06,3.158629422623099,9.944680960786368
1e-05,3.158629422623099,9.944680960786368
1.2589254117941661e-05,3.158629422623099,9.944680960786368
1.584893192461114e-05,3.158629422623099,9.944680960786368
1.9952623149688786e-05,3.158629422623099,9.944680960786368
2.5118864315095822e-05,3.158629422623099,9.944680960786368
3.1622776601683795e-05,3.158629422623099,9.944680960786368
3.9810717055349695e-05,3.158629422623099,9.944680960786368
5.011872336272725e-05,3.158629422623099,9.944680960786368
6.309573444801929e-05,3.158629422623099,9.944680960786368
7.943282347242822e-05,3.158629422623099,9.944680960786368
0.0001,3.158629422623099,9.944680960786368
0.00012589254117941674,3.158629422623099,9.944680960786368
0.00015848931924611142,3.158629422623099,9.944680960786368
0.00019952623149688788,3.158629422623099,9.944680960786368
0.00025118864315095795,3.158629422623099,9.944680960786368
0.00031622776601683794,3.158629422623099,9.944680960786368
0.00039810717055349735,3.158629422623099,9.944680960786368
0.0005011872336272725,3.158629422623099,9.944680960786368
0.000630957344480193,3.158629422623099,9.944680960786368
0.0007943282347242813,3.158629422623099,9.944680960786368
0.001,3.158629422623099,9.944680960786368
0.0012589254117941675,3.158629422623099,9.944680960786368
0.001584893192461114,3.158629422623099,9.944680960786368
0.001995262314968879,3.158629422623099,9.944680960786368
0.0025118864315095794,3.158629422623099,9.944680960786368
0.0031622776601683794,3.158629422623099,9.944680960786368
0.003981071705534973,3.158629422623099,9.944680960786368
0.005011872336272725,3.158629422623099,9.944680960786368
0.00630957344480193,3.158629422623099,9.944680960786368
0.007943282347242814,3.158629422623099,9.944680960786368
0.01,3.158629422623099,9.944680960786368
0.012589254117941675,3.158629422623099,9.944680960786368
0.015848931924611134,3.158629422623099,9.944680960786368
0.0199526231496888,3.158629422623099,9.944680960786368
0.025118864315095794,3.158629422623099,9.944680960786368
0.03162277660168379,3.158629422623099,9.944680960786368
0.039810717055349734,3.158629422623099,9.944680960786368
0.05011872336272722,3.158629422623099,9.944680960786368
0.06309573444801933,3.158629422623099,9.944680960786368
0.07943282347242814,3.158629422623099,9.944680960786368
0.1,3.158629422623099,9.944680960786368
0.12589254117941673,3.158629422623099,9.944680960786368
