n,S
1,0.02080953803203538
2,0.09683103385716653
3,0.2828518951073991
4,0.7164552996922687
5,1.4630718843868602
6,0.9364034789785656
7,-1.4266941257195327
8,0.9363234900840433
9,0.9363234900840433
10,0.9363234900840433
11,0.9363234900840433
12,0.9363234900840433
13,0.9363234900840433
14,0.9363234900840433
15,0.9363234900840433
16,0.9363234900840433
17,0.9363234900840433
18,0.9363234900840433
19,0.9363234900840433
